Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,5490000,5790000,5771000,6032000,6482000,6922000,7449000,8269000,8815000,9246000
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,6276000,7103000,7788000,8212000,9052000,9480000,9810000,10390000,10932000,11403000
Australia,AUS,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,3942000000,5293000000,6596000000,7148000000,6622000000,5543000000,4881000000,4879000000,5240000000,5486000000
Australia,AUS,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,22680000000,27851000000,33967000000,35226000000,35197000000,35666000000,34071000000,35718000000,39710000000,42439000000
Brazil,BRA,"International tourism, number of arrivals",ST.INT.ARVL,4802000,5161000,5433000,5677000,5813000,6430000,6306000,6547000,6589000,6621000
Brazil,BRA,"International tourism, number of departures",ST.INT.DPRT,4920000,6457000,7807000,8497000,8866000,9617000,9478000,8872000,10610000,10628000
Brazil,BRA,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,1999000000,2918000000,3806000000,3969000000,4258000000,4431000000,2999000000,2571000000,3989000000,3963000000
Brazil,BRA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,12897000000,18883000000,24608000000,26008000000,29286000000,29998000000,20356000000,17068000000,22991000000,22229000000
France,FRA,"International tourism, number of arrivals",ST.INT.ARVL,192369000,189826000,196595000,197522000,204410000,206599000,203302000,203042000,207274000,211998000
France,FRA,"International tourism, number of departures",ST.INT.DPRT,30646000,29973000,31153000,29642000,30457000,31941000,30608000,29636000,44265000,48069000
France,FRA,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,8096000000,8398000000,10784000000,10232000000,10261000000,9687000000,8192000000,8593000000,9595000000,9667000000
France,FRA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,45087000000,46695000000,55509000000,50068000000,52444000000,58464000000,47713000000,49029000000,53787000000,59131000000
